Current status{'sys': 'on', 'led': 'off', 'dist_sens': 'on', 'switch': 'off'}
Current status{'sys': 'on', 'led': 'off', 'dist_sens': 'on', 'switch': 'off'}
Current status{'sys': 'on', 'led': 'off', 'dist_sens': 'on', 'switch': 'off'}
Current status{'sys': 'on', 'led': 'off', 'dist_sens': 'on', 'switch': 'off'}
Current status{'sys': 'on', 'led': 'off', 'dist_sens': 'on', 'switch': 'off'}
Current status{'sys': 'on', 'led': 'off', 'dist_sens': 'on', 'switch': 'off'}
Current status{'sys': 'on', 'led': 'off', 'dist_sens': 'on', 'switch': 'off'}
Current status{'sys': 'on', 'led': 'off', 'dist_sens': 'on', 'switch': 'off'}
Current status{'sys': 'on', 'led': 'off', 'dist_sens': 'on', 'switch': 'off'}
Current status{'sys': 'on', 'led': 'on', 'dist_sens': 'on', 'switch': 'off'}
Current status{'sys': 'on', 'led': 'on', 'dist_sens': 'on', 'switch': 'off'}
Current status{'sys': 'on', 'led': 'on', 'dist_sens': 'on', 'switch': 'off'}
Current status{'sys': 'on', 'led': 'on', 'dist_sens': 'on', 'switch': 'off'}
Current status{'sys': 'on', 'led': 'on', 'dist_sens': 'on', 'switch': 'off'}
Current status{'sys': 'on', 'led': 'on', 'dist_sens': 'on', 'switch': 'off'}
Current status{'sys': 'on', 'led': 'on', 'dist_sens': 'on', 'switch': 'off'}
Current status{'sys': 'on', 'led': 'on', 'dist_sens': 'on', 'switch': 'off'}
Current status{'sys': 'on', 'led': 'on', 'dist_sens': 'on', 'switch': 'off'}
Current status{'sys': 'on', 'led': 'on', 'dist_sens': 'on', 'switch': 'off'}
Current status{'sys': 'on', 'led': 'on', 'dist_sens': 'on', 'switch': 'off'}
Current status{'sys': 'on', 'led': 'on', 'dist_sens': 'on', 'switch': 'off'}
Current status{'sys': 'on', 'led': 'on', 'dist_sens': 'on', 'switch': 'off'}
Current status{'sys': 'on', 'led': 'on', 'dist_sens': 'on', 'switch': 'off'}
Current status{'sys': 'on', 'led': 'on', 'dist_sens': 'on', 'switch': 'off'}
Current status{'sys': 'on', 'led': 'on', 'dist_sens': 'on', 'switch': 'off'}
Current status{'sys': 'on', 'led': 'on', 'dist_sens': 'on', 'switch': 'off'}
